HYPER-PARAMETERS
[46/400]  Loss_D: -2.5439 Loss_G: -1.9171, Wasserstein_dist:3.4405, vae_loss_seen:374.8870 GZSL: seen=0.3667, unseen=0.4712, h=0.4124 ZSL: unseen accuracy=0.6442
[47/400]  Loss_D: -2.4055 Loss_G: -1.3856, Wasserstein_dist:3.1182, vae_loss_seen:380.9547 GZSL: seen=0.3596, unseen=0.4529, h=0.4009 ZSL: unseen accuracy=0.6423
[48/400]  Loss_D: -2.3516 Loss_G: -1.8236, Wasserstein_dist:3.2634, vae_loss_seen:364.3694 GZSL: seen=0.3552, unseen=0.4654, h=0.4029 ZSL: unseen accuracy=0.6558
[49/400]  Loss_D: -2.4381 Loss_G: -1.7947, Wasserstein_dist:3.3575, vae_loss_seen:372.5459 GZSL: seen=0.3715, unseen=0.4394, h=0.4026 ZSL: unseen accuracy=0.6538
[50/400]  Loss_D: -2.2532 Loss_G: -1.6578, Wasserstein_dist:3.0369, vae_loss_seen:362.4072 GZSL: seen=0.3759, unseen=0.4375, h=0.4044 ZSL: unseen accuracy=0.6433
[51/400]  Loss_D: -2.4674 Loss_G: -1.7121, Wasserstein_dist:3.2747, vae_loss_seen:374.6588 GZSL: seen=0.3723, unseen=0.4558, h=0.4099 ZSL: unseen accuracy=0.6413
[52/400]  Loss_D: -2.3368 Loss_G: -1.7512, Wasserstein_dist:3.1145, vae_loss_seen:361.9488 GZSL: seen=0.3634, unseen=0.4673, h=0.4088 ZSL: unseen accuracy=0.6442
[53/400]  Loss_D: -2.3298 Loss_G: -1.8398, Wasserstein_dist:3.0066, vae_loss_seen:376.8104 GZSL: seen=0.3535, unseen=0.4712, h=0.4039 ZSL: unseen accuracy=0.6404
[54/400]  Loss_D: -2.3878 Loss_G: -1.8916, Wasserstein_dist:3.2728, vae_loss_seen:376.6896 GZSL: seen=0.3505, unseen=0.4779, h=0.4044 ZSL: unseen accuracy=0.6500
[55/400]  Loss_D: -2.0471 Loss_G: -1.5237, Wasserstein_dist:2.7324, vae_loss_seen:369.0067 GZSL: seen=0.3709, unseen=0.4481, h=0.4059 ZSL: unseen accuracy=0.6529
[56/400]  Loss_D: -2.1124 Loss_G: -1.4072, Wasserstein_dist:2.7046, vae_loss_seen:363.3504 GZSL: seen=0.3615, unseen=0.4615, h=0.4054 ZSL: unseen accuracy=0.6356
[57/400]  Loss_D: -2.3986 Loss_G: -1.7845, Wasserstein_dist:3.1175, vae_loss_seen:382.5363 GZSL: seen=0.3577, unseen=0.4712, h=0.4067 ZSL: unseen accuracy=0.6481
[58/400]  Loss_D: -2.2103 Loss_G: -1.6983, Wasserstein_dist:2.9326, vae_loss_seen:372.1131 GZSL: seen=0.3611, unseen=0.4538, h=0.4022 ZSL: unseen accuracy=0.6481
[59/400]  Loss_D: -2.2215 Loss_G: -1.7769, Wasserstein_dist:3.0870, vae_loss_seen:370.8350 GZSL: seen=0.3508, unseen=0.4788, h=0.4050 ZSL: unseen accuracy=0.6442
[60/400]  Loss_D: -2.1366 Loss_G: -1.6800, Wasserstein_dist:2.8152, vae_loss_seen:364.3380 GZSL: seen=0.3480, unseen=0.5000, h=0.4104 ZSL: unseen accuracy=0.6615
[61/400]  Loss_D: -2.1525 Loss_G: -1.9317, Wasserstein_dist:2.9145, vae_loss_seen:369.1328 GZSL: seen=0.3638, unseen=0.4596, h=0.4061 ZSL: unseen accuracy=0.6567
[62/400]  Loss_D: -2.1297 Loss_G: -1.5711, Wasserstein_dist:2.8286, vae_loss_seen:378.2992 GZSL: seen=0.3576, unseen=0.4846, h=0.4116 ZSL: unseen accuracy=0.6529
[63/400]  Loss_D: -2.1008 Loss_G: -1.6846, Wasserstein_dist:2.8035, vae_loss_seen:368.1736 GZSL: seen=0.3853, unseen=0.4308, h=0.4068 ZSL: unseen accuracy=0.6538
[64/400]  Loss_D: -1.9629 Loss_G: -1.8078, Wasserstein_dist:2.7036, vae_loss_seen:365.3504 GZSL: seen=0.3652, unseen=0.4510, h=0.4036 ZSL: unseen accuracy=0.6587
[65/400]  Loss_D: -2.2523 Loss_G: -1.7910, Wasserstein_dist:3.0982, vae_loss_seen:384.3925 GZSL: seen=0.3471, unseen=0.4760, h=0.4015 ZSL: unseen accuracy=0.6490
[66/400]  Loss_D: -2.1844 Loss_G: -1.9258, Wasserstein_dist:2.8858, vae_loss_seen:370.0590 GZSL: seen=0.3589, unseen=0.4654, h=0.4053 ZSL: unseen accuracy=0.6548
[67/400]  Loss_D: -1.9115 Loss_G: -1.8565, Wasserstein_dist:2.6640, vae_loss_seen:345.4573 GZSL: seen=0.3477, unseen=0.4798, h=0.4032 ZSL: unseen accuracy=0.6558
[68/400]  Loss_D: -2.1194 Loss_G: -1.7744, Wasserstein_dist:2.9062, vae_loss_seen:352.6345 GZSL: seen=0.3585, unseen=0.4817, h=0.4111 ZSL: unseen accuracy=0.6500
[69/400]  Loss_D: -2.2520 Loss_G: -1.8052, Wasserstein_dist:3.0297, vae_loss_seen:360.2951 GZSL: seen=0.3583, unseen=0.4692, h=0.4063 ZSL: unseen accuracy=0.6596
[70/400]  Loss_D: -2.2873 Loss_G: -2.0859, Wasserstein_dist:3.1439, vae_loss_seen:376.1567 GZSL: seen=0.3569, unseen=0.4760, h=0.4079 ZSL: unseen accuracy=0.6462
[71/400]  Loss_D: -2.0113 Loss_G: -1.6992, Wasserstein_dist:2.7006, vae_loss_seen:356.1768 GZSL: seen=0.3559, unseen=0.4885, h=0.4118 ZSL: unseen accuracy=0.6519
[72/400]  Loss_D: -2.3001 Loss_G: -1.8131, Wasserstein_dist:3.0355, vae_loss_seen:386.7203 GZSL: seen=0.3694, unseen=0.4654, h=0.4119 ZSL: unseen accuracy=0.6433
[73/400]  Loss_D: -2.1851 Loss_G: -1.9678, Wasserstein_dist:3.0239, vae_loss_seen:377.3168 GZSL: seen=0.3568, unseen=0.4712, h=0.4061 ZSL: unseen accuracy=0.6529
[74/400]  Loss_D: -2.1497 Loss_G: -1.9643, Wasserstein_dist:2.9220, vae_loss_seen:379.5575 GZSL: seen=0.3748, unseen=0.4442, h=0.4066 ZSL: unseen accuracy=0.6433
[75/400]  Loss_D: -2.0117 Loss_G: -1.7736, Wasserstein_dist:2.7415, vae_loss_seen:355.4138 GZSL: seen=0.3615, unseen=0.4769, h=0.4113 ZSL: unseen accuracy=0.6529
[76/400]  Loss_D: -2.0951 Loss_G: -1.9021, Wasserstein_dist:2.8878, vae_loss_seen:366.5846 GZSL: seen=0.3760, unseen=0.4500, h=0.4097 ZSL: unseen accuracy=0.6490
[77/400]  Loss_D: -2.1085 Loss_G: -1.8588, Wasserstein_dist:2.8477, vae_loss_seen:369.9719 GZSL: seen=0.3711, unseen=0.4596, h=0.4107 ZSL: unseen accuracy=0.6577
[78/400]  Loss_D: -2.2536 Loss_G: -2.2085, Wasserstein_dist:3.0515, vae_loss_seen:395.5266 GZSL: seen=0.3606, unseen=0.4798, h=0.4117 ZSL: unseen accuracy=0.6413
[79/400]  Loss_D: -1.8667 Loss_G: -1.8025, Wasserstein_dist:2.4777, vae_loss_seen:366.3046 GZSL: seen=0.3609, unseen=0.4663, h=0.4069 ZSL: unseen accuracy=0.6538
[80/400]  Loss_D: -2.1499 Loss_G: -2.2830, Wasserstein_dist:2.9516, vae_loss_seen:369.7212 GZSL: seen=0.3693, unseen=0.4663, h=0.4122 ZSL: unseen accuracy=0.6490
[81/400]  Loss_D: -1.9756 Loss_G: -1.9692, Wasserstein_dist:2.6063, vae_loss_seen:354.8614 GZSL: seen=0.3703, unseen=0.4538, h=0.4079 ZSL: unseen accuracy=0.6481
[82/400]  Loss_D: -2.2083 Loss_G: -2.0735, Wasserstein_dist:3.0010, vae_loss_seen:357.7353 GZSL: seen=0.3749, unseen=0.4452, h=0.4071 ZSL: unseen accuracy=0.6529
[83/400]  Loss_D: -1.9775 Loss_G: -1.9769, Wasserstein_dist:2.6068, vae_loss_seen:360.8247 GZSL: seen=0.3666, unseen=0.4625, h=0.4090 ZSL: unseen accuracy=0.6481
[84/400]  Loss_D: -2.0048 Loss_G: -1.9108, Wasserstein_dist:2.7787, vae_loss_seen:353.9846 GZSL: seen=0.3726, unseen=0.4500, h=0.4077 ZSL: unseen accuracy=0.6510
[85/400]  Loss_D: -2.0768 Loss_G: -1.9318, Wasserstein_dist:2.7135, vae_loss_seen:367.8545 GZSL: seen=0.3423, unseen=0.5087, h=0.4092 ZSL: unseen accuracy=0.6510
[86/400]  Loss_D: -2.1447 Loss_G: -2.3200, Wasserstein_dist:2.9560, vae_loss_seen:374.2745 GZSL: seen=0.3861, unseen=0.4471, h=0.4144 ZSL: unseen accuracy=0.6500
[87/400]  Loss_D: -1.9623 Loss_G: -2.0445, Wasserstein_dist:2.7486, vae_loss_seen:363.9261 GZSL: seen=0.3733, unseen=0.4442, h=0.4057 ZSL: unseen accuracy=0.6442
[88/400]  Loss_D: -2.0194 Loss_G: -1.9955, Wasserstein_dist:2.7835, vae_loss_seen:367.3472 GZSL: seen=0.3476, unseen=0.4885, h=0.4062 ZSL: unseen accuracy=0.6519
[89/400]  Loss_D: -2.1121 Loss_G: -2.1736, Wasserstein_dist:2.8123, vae_loss_seen:362.5723 GZSL: seen=0.3479, unseen=0.4827, h=0.4044 ZSL: unseen accuracy=0.6529
[90/400]  Loss_D: -2.0798 Loss_G: -2.0475, Wasserstein_dist:2.7631, vae_loss_seen:371.9349 GZSL: seen=0.3540, unseen=0.4875, h=0.4101 ZSL: unseen accuracy=0.6548
[91/400]  Loss_D: -1.9975 Loss_G: -2.1880, Wasserstein_dist:2.7770, vae_loss_seen:369.8004 GZSL: seen=0.3556, unseen=0.4788, h=0.4082 ZSL: unseen accuracy=0.6481
[92/400]  Loss_D: -2.0244 Loss_G: -1.9633, Wasserstein_dist:2.7729, vae_loss_seen:371.6626 GZSL: seen=0.3819, unseen=0.4365, h=0.4074 ZSL: unseen accuracy=0.6558
[93/400]  Loss_D: -2.1398 Loss_G: -2.1789, Wasserstein_dist:2.9451, vae_loss_seen:370.0700 GZSL: seen=0.3598, unseen=0.4788, h=0.4109 ZSL: unseen accuracy=0.6519
[94/400]  Loss_D: -1.9418 Loss_G: -2.0628, Wasserstein_dist:2.6074, vae_loss_seen:354.7836 GZSL: seen=0.3617, unseen=0.4663, h=0.4074 ZSL: unseen accuracy=0.6423
[95/400]  Loss_D: -2.0289 Loss_G: -2.1789, Wasserstein_dist:2.7578, vae_loss_seen:366.4325 GZSL: seen=0.3705, unseen=0.4596, h=0.4103 ZSL: unseen accuracy=0.6510
[96/400]  Loss_D: -1.8510 Loss_G: -2.0111, Wasserstein_dist:2.4968, vae_loss_seen:353.7777 GZSL: seen=0.3657, unseen=0.4712, h=0.4118 ZSL: unseen accuracy=0.6442
[97/400]  Loss_D: -1.7907 Loss_G: -2.0280, Wasserstein_dist:2.4024, vae_loss_seen:371.2513 GZSL: seen=0.3455, unseen=0.4971, h=0.4077 ZSL: unseen accuracy=0.6442
[98/400]  Loss_D: -1.8985 Loss_G: -1.9958, Wasserstein_dist:2.6007, vae_loss_seen:358.3769 GZSL: seen=0.3479, unseen=0.4952, h=0.4087 ZSL: unseen accuracy=0.6452
[99/400]  Loss_D: -1.8256 Loss_G: -1.8399, Wasserstein_dist:2.4010, vae_loss_seen:361.9447 GZSL: seen=0.3975, unseen=0.4231, h=0.4099 ZSL: unseen accuracy=0.6471
[100/400]  Loss_D: -2.1513 Loss_G: -2.3585, Wasserstein_dist:2.8814, vae_loss_seen:376.3352 GZSL: seen=0.3749, unseen=0.4423, h=0.4058 ZSL: unseen accuracy=0.6442
[101/400]  Loss_D: -1.8988 Loss_G: -2.1175, Wasserstein_dist:2.4995, vae_loss_seen:355.4515 GZSL: seen=0.3483, unseen=0.5077, h=0.4131 ZSL: unseen accuracy=0.6471
[102/400]  Loss_D: -1.9086 Loss_G: -1.9832, Wasserstein_dist:2.5920, vae_loss_seen:369.6407 GZSL: seen=0.3688, unseen=0.4769, h=0.4159 ZSL: unseen accuracy=0.6471
[103/400]  Loss_D: -1.9032 Loss_G: -2.0979, Wasserstein_dist:2.6107, vae_loss_seen:370.5003 GZSL: seen=0.3710, unseen=0.4596, h=0.4106 ZSL: unseen accuracy=0.6423
[104/400]  Loss_D: -1.8793 Loss_G: -2.2847, Wasserstein_dist:2.6583, vae_loss_seen:355.7635 GZSL: seen=0.3536, unseen=0.4923, h=0.4116 ZSL: unseen accuracy=0.6490
[105/400]  Loss_D: -2.0218 Loss_G: -2.3983, Wasserstein_dist:2.6294, vae_loss_seen:368.2776 GZSL: seen=0.3731, unseen=0.4548, h=0.4099 ZSL: unseen accuracy=0.6519
[106/400]  Loss_D: -2.0222 Loss_G: -2.1915, Wasserstein_dist:2.6125, vae_loss_seen:380.5517 GZSL: seen=0.3885, unseen=0.4327, h=0.4094 ZSL: unseen accuracy=0.6452
[107/400]  Loss_D: -1.8948 Loss_G: -2.4091, Wasserstein_dist:2.6571, vae_loss_seen:369.7974 GZSL: seen=0.3828, unseen=0.4404, h=0.4096 ZSL: unseen accuracy=0.6490
[108/400]  Loss_D: -1.8237 Loss_G: -2.2304, Wasserstein_dist:2.5235, vae_loss_seen:372.4412 GZSL: seen=0.3487, unseen=0.4962, h=0.4096 ZSL: unseen accuracy=0.6490
[109/400]  Loss_D: -1.8720 Loss_G: -2.3796, Wasserstein_dist:2.6585, vae_loss_seen:360.8121 GZSL: seen=0.3601, unseen=0.4731, h=0.4090 ZSL: unseen accuracy=0.6490
[110/400]  Loss_D: -1.9627 Loss_G: -2.3932, Wasserstein_dist:2.6055, vae_loss_seen:367.6060 GZSL: seen=0.3966, unseen=0.4279, h=0.4116 ZSL: unseen accuracy=0.6490
[111/400]  Loss_D: -2.1800 Loss_G: -2.6056, Wasserstein_dist:2.9003, vae_loss_seen:372.4540 GZSL: seen=0.3990, unseen=0.4173, h=0.4079 ZSL: unseen accuracy=0.6404
[112/400]  Loss_D: -1.9366 Loss_G: -2.0993, Wasserstein_dist:2.6330, vae_loss_seen:358.8127 GZSL: seen=0.3688, unseen=0.4779, h=0.4163 ZSL: unseen accuracy=0.6500
[113/400]  Loss_D: -1.8365 Loss_G: -2.2330, Wasserstein_dist:2.5449, vae_loss_seen:352.2413 GZSL: seen=0.3832, unseen=0.4462, h=0.4123 ZSL: unseen accuracy=0.6481
[114/400]  Loss_D: -1.8339 Loss_G: -2.0127, Wasserstein_dist:2.4524, vae_loss_seen:370.3678 GZSL: seen=0.3865, unseen=0.4481, h=0.4150 ZSL: unseen accuracy=0.6452
[115/400]  Loss_D: -1.7723 Loss_G: -2.4176, Wasserstein_dist:2.4499, vae_loss_seen:350.1409 GZSL: seen=0.3837, unseen=0.4279, h=0.4046 ZSL: unseen accuracy=0.6529
[116/400]  Loss_D: -1.7526 Loss_G: -2.0477, Wasserstein_dist:2.2720, vae_loss_seen:378.1656 GZSL: seen=0.3764, unseen=0.4548, h=0.4119 ZSL: unseen accuracy=0.6510
[117/400]  Loss_D: -1.8473 Loss_G: -2.2813, Wasserstein_dist:2.4503, vae_loss_seen:359.4253 GZSL: seen=0.3864, unseen=0.4356, h=0.4095 ZSL: unseen accuracy=0.6519
[118/400]  Loss_D: -1.9592 Loss_G: -2.4743, Wasserstein_dist:2.6713, vae_loss_seen:373.1809 GZSL: seen=0.3437, unseen=0.5115, h=0.4111 ZSL: unseen accuracy=0.6519
[119/400]  Loss_D: -1.8427 Loss_G: -2.2968, Wasserstein_dist:2.4530, vae_loss_seen:359.2513 GZSL: seen=0.3637, unseen=0.4654, h=0.4083 ZSL: unseen accuracy=0.6510
[120/400]  Loss_D: -1.7647 Loss_G: -2.2547, Wasserstein_dist:2.3206, vae_loss_seen:365.5523 GZSL: seen=0.3689, unseen=0.4731, h=0.4145 ZSL: unseen accuracy=0.6510
[121/400]  Loss_D: -1.7439 Loss_G: -2.0938, Wasserstein_dist:2.3149, vae_loss_seen:356.2238 GZSL: seen=0.3574, unseen=0.4913, h=0.4138 ZSL: unseen accuracy=0.6577
[122/400]  Loss_D: -1.8951 Loss_G: -2.3296, Wasserstein_dist:2.5000, vae_loss_seen:365.5283 GZSL: seen=0.3616, unseen=0.4760, h=0.4110 ZSL: unseen accuracy=0.6404
[123/400]  Loss_D: -1.7656 Loss_G: -2.3207, Wasserstein_dist:2.4027, vae_loss_seen:370.2310 GZSL: seen=0.3620, unseen=0.4654, h=0.4072 ZSL: unseen accuracy=0.6538
[124/400]  Loss_D: -1.7699 Loss_G: -2.2500, Wasserstein_dist:2.3801, vae_loss_seen:368.4662 GZSL: seen=0.3669, unseen=0.4721, h=0.4129 ZSL: unseen accuracy=0.6587
[125/400]  Loss_D: -1.8689 Loss_G: -2.3039, Wasserstein_dist:2.4874, vae_loss_seen:362.7662 GZSL: seen=0.3516, unseen=0.4923, h=0.4102 ZSL: unseen accuracy=0.6481
[126/400]  Loss_D: -1.7645 Loss_G: -2.4368, Wasserstein_dist:2.4028, vae_loss_seen:354.7832 GZSL: seen=0.3796, unseen=0.4452, h=0.4098 ZSL: unseen accuracy=0.6481
