HYPER-PARAMETERS
[66/400]  Loss_D: -2.0114 Loss_G: -2.0129, Wasserstein_dist:2.7028, vae_loss_seen:372.2564 GZSL: seen=0.3717, unseen=0.4894, h=0.4225 ZSL: unseen accuracy=0.6356
[67/400]  Loss_D: -1.8477 Loss_G: -2.1162, Wasserstein_dist:2.5462, vae_loss_seen:347.6933 GZSL: seen=0.3671, unseen=0.4971, h=0.4223 ZSL: unseen accuracy=0.6500
[68/400]  Loss_D: -1.9597 Loss_G: -2.0551, Wasserstein_dist:2.6831, vae_loss_seen:354.7932 GZSL: seen=0.3804, unseen=0.4885, h=0.4277 ZSL: unseen accuracy=0.6375
[69/400]  Loss_D: -1.9618 Loss_G: -1.7228, Wasserstein_dist:2.6145, vae_loss_seen:363.1989 GZSL: seen=0.3814, unseen=0.5010, h=0.4331 ZSL: unseen accuracy=0.6500
[70/400]  Loss_D: -2.0993 Loss_G: -2.0959, Wasserstein_dist:2.8240, vae_loss_seen:378.9716 GZSL: seen=0.3745, unseen=0.4827, h=0.4218 ZSL: unseen accuracy=0.6346
[71/400]  Loss_D: -1.8071 Loss_G: -1.7742, Wasserstein_dist:2.4628, vae_loss_seen:358.9578 GZSL: seen=0.3780, unseen=0.4856, h=0.4251 ZSL: unseen accuracy=0.6365
[72/400]  Loss_D: -2.1521 Loss_G: -1.9810, Wasserstein_dist:2.8522, vae_loss_seen:389.1154 GZSL: seen=0.3761, unseen=0.4885, h=0.4250 ZSL: unseen accuracy=0.6404
[73/400]  Loss_D: -1.9115 Loss_G: -1.8830, Wasserstein_dist:2.5861, vae_loss_seen:380.0995 GZSL: seen=0.3732, unseen=0.4856, h=0.4220 ZSL: unseen accuracy=0.6327
[74/400]  Loss_D: -1.9462 Loss_G: -2.0263, Wasserstein_dist:2.6349, vae_loss_seen:381.6338 GZSL: seen=0.3777, unseen=0.4952, h=0.4285 ZSL: unseen accuracy=0.6442
[75/400]  Loss_D: -1.8309 Loss_G: -1.7479, Wasserstein_dist:2.4409, vae_loss_seen:358.2354 GZSL: seen=0.3875, unseen=0.4798, h=0.4288 ZSL: unseen accuracy=0.6452
[76/400]  Loss_D: -1.9060 Loss_G: -1.8898, Wasserstein_dist:2.5694, vae_loss_seen:369.3116 GZSL: seen=0.3686, unseen=0.4952, h=0.4226 ZSL: unseen accuracy=0.6394
[77/400]  Loss_D: -1.9496 Loss_G: -1.7406, Wasserstein_dist:2.5771, vae_loss_seen:371.8941 GZSL: seen=0.3686, unseen=0.4981, h=0.4236 ZSL: unseen accuracy=0.6510
[78/400]  Loss_D: -2.0228 Loss_G: -2.2232, Wasserstein_dist:2.7347, vae_loss_seen:398.0435 GZSL: seen=0.3837, unseen=0.4712, h=0.4229 ZSL: unseen accuracy=0.6202
[79/400]  Loss_D: -1.7653 Loss_G: -1.9952, Wasserstein_dist:2.4178, vae_loss_seen:368.5100 GZSL: seen=0.3780, unseen=0.4817, h=0.4236 ZSL: unseen accuracy=0.6433
[80/400]  Loss_D: -1.9187 Loss_G: -2.2333, Wasserstein_dist:2.6127, vae_loss_seen:372.4762 GZSL: seen=0.3818, unseen=0.4817, h=0.4260 ZSL: unseen accuracy=0.6337
[81/400]  Loss_D: -1.7796 Loss_G: -1.9804, Wasserstein_dist:2.3899, vae_loss_seen:357.5408 GZSL: seen=0.3779, unseen=0.4827, h=0.4239 ZSL: unseen accuracy=0.6317
[82/400]  Loss_D: -1.9821 Loss_G: -1.9512, Wasserstein_dist:2.6398, vae_loss_seen:361.1798 GZSL: seen=0.3690, unseen=0.4913, h=0.4215 ZSL: unseen accuracy=0.6308
[83/400]  Loss_D: -1.8443 Loss_G: -1.9786, Wasserstein_dist:2.4431, vae_loss_seen:363.3853 GZSL: seen=0.3696, unseen=0.4962, h=0.4236 ZSL: unseen accuracy=0.6337
[84/400]  Loss_D: -1.8079 Loss_G: -1.8146, Wasserstein_dist:2.4418, vae_loss_seen:357.3448 GZSL: seen=0.3801, unseen=0.4971, h=0.4308 ZSL: unseen accuracy=0.6375
[85/400]  Loss_D: -1.9519 Loss_G: -2.0465, Wasserstein_dist:2.6425, vae_loss_seen:370.6763 GZSL: seen=0.3824, unseen=0.4837, h=0.4271 ZSL: unseen accuracy=0.6433
[86/400]  Loss_D: -1.8886 Loss_G: -2.1450, Wasserstein_dist:2.5895, vae_loss_seen:377.2349 GZSL: seen=0.3817, unseen=0.5106, h=0.4368 ZSL: unseen accuracy=0.6394
[87/400]  Loss_D: -1.8029 Loss_G: -2.1823, Wasserstein_dist:2.4571, vae_loss_seen:366.6316 GZSL: seen=0.3829, unseen=0.4894, h=0.4297 ZSL: unseen accuracy=0.6327
[88/400]  Loss_D: -1.8042 Loss_G: -1.9581, Wasserstein_dist:2.4400, vae_loss_seen:369.5309 GZSL: seen=0.3927, unseen=0.4894, h=0.4357 ZSL: unseen accuracy=0.6385
[89/400]  Loss_D: -1.9336 Loss_G: -2.1697, Wasserstein_dist:2.6156, vae_loss_seen:364.1875 GZSL: seen=0.3718, unseen=0.4971, h=0.4254 ZSL: unseen accuracy=0.6337
[90/400]  Loss_D: -1.9708 Loss_G: -2.2282, Wasserstein_dist:2.6804, vae_loss_seen:374.1354 GZSL: seen=0.3803, unseen=0.4865, h=0.4269 ZSL: unseen accuracy=0.6346
[91/400]  Loss_D: -1.9271 Loss_G: -2.2841, Wasserstein_dist:2.6903, vae_loss_seen:372.3809 GZSL: seen=0.3908, unseen=0.4856, h=0.4330 ZSL: unseen accuracy=0.6298
[92/400]  Loss_D: -1.8089 Loss_G: -1.9149, Wasserstein_dist:2.4665, vae_loss_seen:374.0126 GZSL: seen=0.3807, unseen=0.4913, h=0.4290 ZSL: unseen accuracy=0.6413
[93/400]  Loss_D: -1.9908 Loss_G: -2.2375, Wasserstein_dist:2.7675, vae_loss_seen:373.0577 GZSL: seen=0.3816, unseen=0.4962, h=0.4314 ZSL: unseen accuracy=0.6346
[94/400]  Loss_D: -1.8276 Loss_G: -2.0307, Wasserstein_dist:2.4455, vae_loss_seen:358.0129 GZSL: seen=0.3846, unseen=0.4904, h=0.4311 ZSL: unseen accuracy=0.6327
[95/400]  Loss_D: -1.8898 Loss_G: -2.0480, Wasserstein_dist:2.5319, vae_loss_seen:369.6005 GZSL: seen=0.3796, unseen=0.4837, h=0.4253 ZSL: unseen accuracy=0.6375
[96/400]  Loss_D: -1.6376 Loss_G: -1.9515, Wasserstein_dist:2.1802, vae_loss_seen:356.2591 GZSL: seen=0.3898, unseen=0.4788, h=0.4298 ZSL: unseen accuracy=0.6365
[97/400]  Loss_D: -1.6548 Loss_G: -2.1170, Wasserstein_dist:2.2015, vae_loss_seen:374.2349 GZSL: seen=0.3672, unseen=0.4933, h=0.4210 ZSL: unseen accuracy=0.6365
[98/400]  Loss_D: -1.7094 Loss_G: -1.8928, Wasserstein_dist:2.2098, vae_loss_seen:360.9507 GZSL: seen=0.3877, unseen=0.4923, h=0.4338 ZSL: unseen accuracy=0.6346
[99/400]  Loss_D: -1.7778 Loss_G: -2.0342, Wasserstein_dist:2.3961, vae_loss_seen:365.2133 GZSL: seen=0.3809, unseen=0.4856, h=0.4269 ZSL: unseen accuracy=0.6317
[100/400]  Loss_D: -2.0681 Loss_G: -2.5150, Wasserstein_dist:2.7311, vae_loss_seen:378.7266 GZSL: seen=0.3692, unseen=0.4942, h=0.4226 ZSL: unseen accuracy=0.6375
[101/400]  Loss_D: -1.7592 Loss_G: -2.0254, Wasserstein_dist:2.3451, vae_loss_seen:358.3943 GZSL: seen=0.3859, unseen=0.4779, h=0.4270 ZSL: unseen accuracy=0.6250
[102/400]  Loss_D: -1.7932 Loss_G: -2.0683, Wasserstein_dist:2.4481, vae_loss_seen:373.0400 GZSL: seen=0.3816, unseen=0.4865, h=0.4277 ZSL: unseen accuracy=0.6413
[103/400]  Loss_D: -1.7269 Loss_G: -2.2131, Wasserstein_dist:2.4341, vae_loss_seen:372.7737 GZSL: seen=0.3853, unseen=0.4702, h=0.4235 ZSL: unseen accuracy=0.6288
[104/400]  Loss_D: -1.6071 Loss_G: -2.3445, Wasserstein_dist:2.2508, vae_loss_seen:358.4675 GZSL: seen=0.3817, unseen=0.4712, h=0.4218 ZSL: unseen accuracy=0.6298
[105/400]  Loss_D: -1.7891 Loss_G: -2.2213, Wasserstein_dist:2.3114, vae_loss_seen:371.3719 GZSL: seen=0.3874, unseen=0.4846, h=0.4306 ZSL: unseen accuracy=0.6404
[106/400]  Loss_D: -1.9949 Loss_G: -2.4271, Wasserstein_dist:2.6415, vae_loss_seen:382.8804 GZSL: seen=0.3827, unseen=0.4692, h=0.4215 ZSL: unseen accuracy=0.6250
[107/400]  Loss_D: -1.6991 Loss_G: -2.5367, Wasserstein_dist:2.4005, vae_loss_seen:372.0355 GZSL: seen=0.3850, unseen=0.4827, h=0.4284 ZSL: unseen accuracy=0.6385
[108/400]  Loss_D: -1.6452 Loss_G: -2.1983, Wasserstein_dist:2.2700, vae_loss_seen:375.4464 GZSL: seen=0.3865, unseen=0.4779, h=0.4273 ZSL: unseen accuracy=0.6365
[109/400]  Loss_D: -1.6691 Loss_G: -2.3948, Wasserstein_dist:2.3313, vae_loss_seen:363.1411 GZSL: seen=0.3856, unseen=0.4933, h=0.4328 ZSL: unseen accuracy=0.6394
[110/400]  Loss_D: -1.7098 Loss_G: -2.1909, Wasserstein_dist:2.2418, vae_loss_seen:371.1874 GZSL: seen=0.3800, unseen=0.5077, h=0.4347 ZSL: unseen accuracy=0.6404
[111/400]  Loss_D: -1.9322 Loss_G: -2.4644, Wasserstein_dist:2.5801, vae_loss_seen:375.8652 GZSL: seen=0.3828, unseen=0.4904, h=0.4300 ZSL: unseen accuracy=0.6337
[112/400]  Loss_D: -1.7544 Loss_G: -2.1759, Wasserstein_dist:2.3553, vae_loss_seen:361.4667 GZSL: seen=0.3824, unseen=0.4875, h=0.4286 ZSL: unseen accuracy=0.6385
[113/400]  Loss_D: -1.6574 Loss_G: -2.1136, Wasserstein_dist:2.2791, vae_loss_seen:355.7778 GZSL: seen=0.3889, unseen=0.4760, h=0.4281 ZSL: unseen accuracy=0.6317
[114/400]  Loss_D: -1.7507 Loss_G: -2.1454, Wasserstein_dist:2.4003, vae_loss_seen:372.2799 GZSL: seen=0.3840, unseen=0.4952, h=0.4326 ZSL: unseen accuracy=0.6327
[115/400]  Loss_D: -1.6483 Loss_G: -2.3165, Wasserstein_dist:2.2474, vae_loss_seen:353.3415 GZSL: seen=0.3825, unseen=0.4798, h=0.4257 ZSL: unseen accuracy=0.6337
[116/400]  Loss_D: -1.5983 Loss_G: -2.0174, Wasserstein_dist:2.1020, vae_loss_seen:380.8688 GZSL: seen=0.3852, unseen=0.4856, h=0.4296 ZSL: unseen accuracy=0.6413
[117/400]  Loss_D: -1.8034 Loss_G: -2.4439, Wasserstein_dist:2.4769, vae_loss_seen:362.7385 GZSL: seen=0.3847, unseen=0.4750, h=0.4251 ZSL: unseen accuracy=0.6442
[118/400]  Loss_D: -1.7750 Loss_G: -2.5268, Wasserstein_dist:2.4317, vae_loss_seen:375.2066 GZSL: seen=0.3589, unseen=0.5221, h=0.4254 ZSL: unseen accuracy=0.6375
[119/400]  Loss_D: -1.7427 Loss_G: -2.3356, Wasserstein_dist:2.3427, vae_loss_seen:362.0173 GZSL: seen=0.3827, unseen=0.4788, h=0.4254 ZSL: unseen accuracy=0.6327
[120/400]  Loss_D: -1.6304 Loss_G: -2.4410, Wasserstein_dist:2.1472, vae_loss_seen:367.8391 GZSL: seen=0.3796, unseen=0.5019, h=0.4323 ZSL: unseen accuracy=0.6308
[121/400]  Loss_D: -1.6736 Loss_G: -2.2220, Wasserstein_dist:2.2984, vae_loss_seen:358.9877 GZSL: seen=0.3750, unseen=0.4971, h=0.4275 ZSL: unseen accuracy=0.6288
[122/400]  Loss_D: -1.7870 Loss_G: -2.3290, Wasserstein_dist:2.3592, vae_loss_seen:368.1506 GZSL: seen=0.3936, unseen=0.4894, h=0.4363 ZSL: unseen accuracy=0.6356
[123/400]  Loss_D: -1.6334 Loss_G: -2.3129, Wasserstein_dist:2.2335, vae_loss_seen:372.6165 GZSL: seen=0.3851, unseen=0.4673, h=0.4223 ZSL: unseen accuracy=0.6308
[124/400]  Loss_D: -1.6237 Loss_G: -2.2712, Wasserstein_dist:2.2348, vae_loss_seen:371.7493 GZSL: seen=0.3844, unseen=0.4865, h=0.4295 ZSL: unseen accuracy=0.6423
[125/400]  Loss_D: -1.5489 Loss_G: -2.1485, Wasserstein_dist:2.0118, vae_loss_seen:365.8882 GZSL: seen=0.3839, unseen=0.4808, h=0.4269 ZSL: unseen accuracy=0.6365
[126/400]  Loss_D: -1.5602 Loss_G: -2.3207, Wasserstein_dist:2.1144, vae_loss_seen:357.4813 GZSL: seen=0.3747, unseen=0.4885, h=0.4241 ZSL: unseen accuracy=0.6240
