HYPER-PARAMETERS
[53/400]  Loss_D: -1.4242 Loss_G: -5.7771, Wasserstein_dist:1.9313, vae_loss_seen:748.1869 GZSL: seen=0.9424, unseen=0.8731, h=0.9064 ZSL: unseen accuracy=0.9240
[54/400]  Loss_D: -1.6265 Loss_G: -6.1539, Wasserstein_dist:2.1772, vae_loss_seen:735.9365 GZSL: seen=0.9449, unseen=0.8769, h=0.9096 ZSL: unseen accuracy=0.9144
[55/400]  Loss_D: -1.5569 Loss_G: -2.9615, Wasserstein_dist:2.0897, vae_loss_seen:749.6262 GZSL: seen=0.9388, unseen=0.8712, h=0.9037 ZSL: unseen accuracy=0.9240
[56/400]  Loss_D: -1.4921 Loss_G: -5.2843, Wasserstein_dist:1.9979, vae_loss_seen:755.9799 GZSL: seen=0.9487, unseen=0.8779, h=0.9119 ZSL: unseen accuracy=0.9250
[57/400]  Loss_D: -1.7684 Loss_G: -5.5147, Wasserstein_dist:2.3227, vae_loss_seen:748.9897 GZSL: seen=0.9356, unseen=0.8721, h=0.9028 ZSL: unseen accuracy=0.9260
[58/400]  Loss_D: -1.5326 Loss_G: -5.5376, Wasserstein_dist:2.0446, vae_loss_seen:752.8296 GZSL: seen=0.9330, unseen=0.8798, h=0.9056 ZSL: unseen accuracy=0.9106
[59/400]  Loss_D: -1.7585 Loss_G: -5.6340, Wasserstein_dist:2.2662, vae_loss_seen:755.1221 GZSL: seen=0.9358, unseen=0.8731, h=0.9033 ZSL: unseen accuracy=0.9183
[60/400]  Loss_D: -1.4209 Loss_G: -4.3471, Wasserstein_dist:1.9431, vae_loss_seen:744.0316 GZSL: seen=0.9288, unseen=0.8837, h=0.9057 ZSL: unseen accuracy=0.9260
[61/400]  Loss_D: -1.4073 Loss_G: -2.5139, Wasserstein_dist:1.9933, vae_loss_seen:747.3528 GZSL: seen=0.9306, unseen=0.8808, h=0.9050 ZSL: unseen accuracy=0.9202
[62/400]  Loss_D: -1.3289 Loss_G: -5.0971, Wasserstein_dist:1.8184, vae_loss_seen:740.8641 GZSL: seen=0.9302, unseen=0.8817, h=0.9053 ZSL: unseen accuracy=0.9279
