HYPER-PARAMETERS
[59/400]  Loss_D: -2.2918 Loss_G: -2.0683, Wasserstein_dist:3.0634, vae_loss_seen:375.3772 GZSL: seen=0.3548, unseen=0.4827, h=0.4090 ZSL: unseen accuracy=0.6500
[60/400]  Loss_D: -1.9962 Loss_G: -1.7598, Wasserstein_dist:2.8476, vae_loss_seen:343.5904 GZSL: seen=0.3652, unseen=0.4442, h=0.4009 ZSL: unseen accuracy=0.6490
[61/400]  Loss_D: -2.2312 Loss_G: -1.9267, Wasserstein_dist:3.0331, vae_loss_seen:370.9294 GZSL: seen=0.3766, unseen=0.4394, h=0.4056 ZSL: unseen accuracy=0.6462
[62/400]  Loss_D: -2.1011 Loss_G: -1.8432, Wasserstein_dist:2.8294, vae_loss_seen:365.8950 GZSL: seen=0.3607, unseen=0.4346, h=0.3942 ZSL: unseen accuracy=0.6385
[63/400]  Loss_D: -1.9973 Loss_G: -1.7883, Wasserstein_dist:2.6428, vae_loss_seen:359.4709 GZSL: seen=0.3490, unseen=0.4731, h=0.4017 ZSL: unseen accuracy=0.6442
[64/400]  Loss_D: -2.1967 Loss_G: -1.9425, Wasserstein_dist:2.9474, vae_loss_seen:368.6381 GZSL: seen=0.3600, unseen=0.4625, h=0.4048 ZSL: unseen accuracy=0.6548
[65/400]  Loss_D: -2.1425 Loss_G: -1.9534, Wasserstein_dist:2.9066, vae_loss_seen:363.2884 GZSL: seen=0.3724, unseen=0.4606, h=0.4118 ZSL: unseen accuracy=0.6452
[66/400]  Loss_D: -2.1502 Loss_G: -2.0241, Wasserstein_dist:2.9492, vae_loss_seen:361.9389 GZSL: seen=0.3740, unseen=0.4635, h=0.4140 ZSL: unseen accuracy=0.6538
[67/400]  Loss_D: -2.2126 Loss_G: -1.8865, Wasserstein_dist:2.9870, vae_loss_seen:378.0893 GZSL: seen=0.3480, unseen=0.4837, h=0.4048 ZSL: unseen accuracy=0.6538
[68/400]  Loss_D: -2.2923 Loss_G: -1.9023, Wasserstein_dist:3.0860, vae_loss_seen:381.0034 GZSL: seen=0.3492, unseen=0.4837, h=0.4056 ZSL: unseen accuracy=0.6423
[69/400]  Loss_D: -2.0797 Loss_G: -2.1148, Wasserstein_dist:2.8706, vae_loss_seen:380.2540 GZSL: seen=0.3517, unseen=0.4885, h=0.4089 ZSL: unseen accuracy=0.6548
[70/400]  Loss_D: -2.1134 Loss_G: -1.9940, Wasserstein_dist:2.9192, vae_loss_seen:364.4762 GZSL: seen=0.3686, unseen=0.4587, h=0.4087 ZSL: unseen accuracy=0.6577
[71/400]  Loss_D: -2.0890 Loss_G: -1.7614, Wasserstein_dist:2.8136, vae_loss_seen:355.5405 GZSL: seen=0.3436, unseen=0.5067, h=0.4095 ZSL: unseen accuracy=0.6481
