HYPER-PARAMETERS
[55/400]  Loss_D: -1.5508 Loss_G: -4.6702, Wasserstein_dist:2.0680, vae_loss_seen:768.8151 GZSL: seen=0.9470, unseen=0.8644, h=0.9039 ZSL: unseen accuracy=0.9221
[56/400]  Loss_D: -1.3914 Loss_G: -4.2358, Wasserstein_dist:1.8624, vae_loss_seen:748.0336 GZSL: seen=0.9389, unseen=0.8712, h=0.9038 ZSL: unseen accuracy=0.9231
[57/400]  Loss_D: -1.3020 Loss_G: -3.6983, Wasserstein_dist:1.8025, vae_loss_seen:738.0059 GZSL: seen=0.9402, unseen=0.8837, h=0.9110 ZSL: unseen accuracy=0.9269
[58/400]  Loss_D: -1.5626 Loss_G: -6.8350, Wasserstein_dist:2.0715, vae_loss_seen:757.2526 GZSL: seen=0.9272, unseen=0.8865, h=0.9064 ZSL: unseen accuracy=0.9192
[59/400]  Loss_D: -1.4227 Loss_G: -5.6555, Wasserstein_dist:1.9969, vae_loss_seen:754.4078 GZSL: seen=0.9434, unseen=0.8788, h=0.9100 ZSL: unseen accuracy=0.9240
[60/400]  Loss_D: -1.4892 Loss_G: -5.4160, Wasserstein_dist:2.0676, vae_loss_seen:737.8078 GZSL: seen=0.9488, unseen=0.8692, h=0.9073 ZSL: unseen accuracy=0.9212
[61/400]  Loss_D: -1.5071 Loss_G: -4.5828, Wasserstein_dist:1.9442, vae_loss_seen:736.7040 GZSL: seen=0.9419, unseen=0.8692, h=0.9041 ZSL: unseen accuracy=0.9231
[62/400]  Loss_D: -1.4994 Loss_G: -4.4563, Wasserstein_dist:2.0683, vae_loss_seen:739.5871 GZSL: seen=0.9417, unseen=0.8721, h=0.9056 ZSL: unseen accuracy=0.9346
[63/400]  Loss_D: -1.3115 Loss_G: -3.8202, Wasserstein_dist:1.8047, vae_loss_seen:726.9206 GZSL: seen=0.9452, unseen=0.8644, h=0.9030 ZSL: unseen accuracy=0.9221
[64/400]  Loss_D: -1.4501 Loss_G: -5.4963, Wasserstein_dist:1.9251, vae_loss_seen:743.2910 GZSL: seen=0.9183, unseen=0.8875, h=0.9026 ZSL: unseen accuracy=0.9212
[65/400]  Loss_D: -1.3908 Loss_G: -4.9063, Wasserstein_dist:1.9643, vae_loss_seen:733.1031 GZSL: seen=0.9453, unseen=0.8740, h=0.9083 ZSL: unseen accuracy=0.9298
[66/400]  Loss_D: -1.3344 Loss_G: -5.8994, Wasserstein_dist:1.9073, vae_loss_seen:740.5295 GZSL: seen=0.9468, unseen=0.8750, h=0.9095 ZSL: unseen accuracy=0.9212
[67/400]  Loss_D: -1.3970 Loss_G: -5.7243, Wasserstein_dist:1.9126, vae_loss_seen:749.5579 GZSL: seen=0.9487, unseen=0.8596, h=0.9020 ZSL: unseen accuracy=0.9192
[68/400]  Loss_D: -1.4767 Loss_G: -4.9199, Wasserstein_dist:1.9714, vae_loss_seen:752.3991 GZSL: seen=0.9457, unseen=0.8663, h=0.9043 ZSL: unseen accuracy=0.9269
[69/400]  Loss_D: -1.3826 Loss_G: -5.3103, Wasserstein_dist:1.8656, vae_loss_seen:749.2139 GZSL: seen=0.9394, unseen=0.8846, h=0.9112 ZSL: unseen accuracy=0.9308
[70/400]  Loss_D: -1.4839 Loss_G: -6.0193, Wasserstein_dist:2.0252, vae_loss_seen:753.5534 GZSL: seen=0.9471, unseen=0.8798, h=0.9122 ZSL: unseen accuracy=0.9288
[71/400]  Loss_D: -1.4600 Loss_G: -4.3323, Wasserstein_dist:1.9589, vae_loss_seen:726.5065 GZSL: seen=0.9450, unseen=0.8798, h=0.9113 ZSL: unseen accuracy=0.9240
[72/400]  Loss_D: -1.4106 Loss_G: -4.3148, Wasserstein_dist:1.9276, vae_loss_seen:745.2779 GZSL: seen=0.9526, unseen=0.8750, h=0.9122 ZSL: unseen accuracy=0.9260
[73/400]  Loss_D: -1.4046 Loss_G: -4.1594, Wasserstein_dist:1.9784, vae_loss_seen:728.6105 GZSL: seen=0.9423, unseen=0.8817, h=0.9110 ZSL: unseen accuracy=0.9327
[74/400]  Loss_D: -1.5422 Loss_G: -4.5858, Wasserstein_dist:2.0218, vae_loss_seen:745.1978 GZSL: seen=0.9456, unseen=0.8692, h=0.9058 ZSL: unseen accuracy=0.9260
[75/400]  Loss_D: -1.5549 Loss_G: -7.2912, Wasserstein_dist:2.1257, vae_loss_seen:741.3282 GZSL: seen=0.9401, unseen=0.8837, h=0.9110 ZSL: unseen accuracy=0.9173
[76/400]  Loss_D: -1.3552 Loss_G: -4.3144, Wasserstein_dist:1.8897, vae_loss_seen:730.8721 GZSL: seen=0.9525, unseen=0.8625, h=0.9053 ZSL: unseen accuracy=0.9154
[77/400]  Loss_D: -1.3527 Loss_G: -5.5973, Wasserstein_dist:1.9224, vae_loss_seen:748.0147 GZSL: seen=0.9479, unseen=0.8817, h=0.9136 ZSL: unseen accuracy=0.9375
[78/400]  Loss_D: -1.5611 Loss_G: -6.2048, Wasserstein_dist:2.0954, vae_loss_seen:742.6392 GZSL: seen=0.9468, unseen=0.8817, h=0.9131 ZSL: unseen accuracy=0.9269
[79/400]  Loss_D: -1.3030 Loss_G: -4.5135, Wasserstein_dist:1.7814, vae_loss_seen:751.2252 GZSL: seen=0.9434, unseen=0.8721, h=0.9064 ZSL: unseen accuracy=0.9279
[80/400]  Loss_D: -1.6194 Loss_G: -5.6998, Wasserstein_dist:2.1429, vae_loss_seen:747.1236 GZSL: seen=0.9523, unseen=0.8712, h=0.9099 ZSL: unseen accuracy=0.9337
[81/400]  Loss_D: -1.5003 Loss_G: -4.2109, Wasserstein_dist:1.9908, vae_loss_seen:753.7574 GZSL: seen=0.9410, unseen=0.8808, h=0.9099 ZSL: unseen accuracy=0.9250
