HYPER-PARAMETERS
[62/400]  Loss_D: -2.1285 Loss_G: -1.6181, Wasserstein_dist:2.8200, vae_loss_seen:378.1696 GZSL: seen=0.3648, unseen=0.4683, h=0.4101 ZSL: unseen accuracy=0.6596
[63/400]  Loss_D: -2.0902 Loss_G: -1.8923, Wasserstein_dist:2.8410, vae_loss_seen:368.0171 GZSL: seen=0.3808, unseen=0.4394, h=0.4080 ZSL: unseen accuracy=0.6567
[64/400]  Loss_D: -1.9438 Loss_G: -1.8476, Wasserstein_dist:2.6595, vae_loss_seen:365.5574 GZSL: seen=0.3715, unseen=0.4529, h=0.4082 ZSL: unseen accuracy=0.6529
[65/400]  Loss_D: -2.2151 Loss_G: -1.7428, Wasserstein_dist:3.0639, vae_loss_seen:384.8051 GZSL: seen=0.3562, unseen=0.4769, h=0.4078 ZSL: unseen accuracy=0.6500
[66/400]  Loss_D: -2.1267 Loss_G: -1.9400, Wasserstein_dist:2.8383, vae_loss_seen:370.0228 GZSL: seen=0.3768, unseen=0.4442, h=0.4077 ZSL: unseen accuracy=0.6567
[67/400]  Loss_D: -1.8589 Loss_G: -1.7276, Wasserstein_dist:2.5295, vae_loss_seen:345.5168 GZSL: seen=0.3652, unseen=0.4606, h=0.4074 ZSL: unseen accuracy=0.6606
[68/400]  Loss_D: -2.1418 Loss_G: -1.8311, Wasserstein_dist:2.9209, vae_loss_seen:353.0371 GZSL: seen=0.4007, unseen=0.4308, h=0.4152 ZSL: unseen accuracy=0.6452
[69/400]  Loss_D: -2.1405 Loss_G: -1.7254, Wasserstein_dist:2.8387, vae_loss_seen:360.5919 GZSL: seen=0.3944, unseen=0.4212, h=0.4073 ZSL: unseen accuracy=0.6538
[70/400]  Loss_D: -2.3396 Loss_G: -2.2254, Wasserstein_dist:3.1997, vae_loss_seen:376.7584 GZSL: seen=0.3565, unseen=0.4769, h=0.4080 ZSL: unseen accuracy=0.6500
[71/400]  Loss_D: -2.0026 Loss_G: -1.7196, Wasserstein_dist:2.6847, vae_loss_seen:356.3982 GZSL: seen=0.3497, unseen=0.4923, h=0.4089 ZSL: unseen accuracy=0.6510
[72/400]  Loss_D: -2.3159 Loss_G: -1.9017, Wasserstein_dist:3.0383, vae_loss_seen:386.4095 GZSL: seen=0.3667, unseen=0.4654, h=0.4102 ZSL: unseen accuracy=0.6462
[73/400]  Loss_D: -2.1014 Loss_G: -1.8597, Wasserstein_dist:2.7783, vae_loss_seen:377.2243 GZSL: seen=0.3776, unseen=0.4404, h=0.4066 ZSL: unseen accuracy=0.6519
[74/400]  Loss_D: -2.0920 Loss_G: -1.9367, Wasserstein_dist:2.8464, vae_loss_seen:379.5417 GZSL: seen=0.3741, unseen=0.4481, h=0.4078 ZSL: unseen accuracy=0.6433
[75/400]  Loss_D: -1.9566 Loss_G: -1.8208, Wasserstein_dist:2.6709, vae_loss_seen:355.3207 GZSL: seen=0.3839, unseen=0.4346, h=0.4077 ZSL: unseen accuracy=0.6625
[76/400]  Loss_D: -2.0352 Loss_G: -1.7902, Wasserstein_dist:2.6814, vae_loss_seen:367.0248 GZSL: seen=0.3683, unseen=0.4663, h=0.4116 ZSL: unseen accuracy=0.6481
[77/400]  Loss_D: -2.0956 Loss_G: -1.9517, Wasserstein_dist:2.8254, vae_loss_seen:369.2147 GZSL: seen=0.3640, unseen=0.4712, h=0.4107 ZSL: unseen accuracy=0.6510
[78/400]  Loss_D: -2.1867 Loss_G: -2.1042, Wasserstein_dist:2.9504, vae_loss_seen:395.4967 GZSL: seen=0.3617, unseen=0.4808, h=0.4128 ZSL: unseen accuracy=0.6423
[79/400]  Loss_D: -1.9314 Loss_G: -1.9810, Wasserstein_dist:2.6200, vae_loss_seen:366.5745 GZSL: seen=0.3444, unseen=0.5029, h=0.4088 ZSL: unseen accuracy=0.6529
[80/400]  Loss_D: -2.1366 Loss_G: -2.3126, Wasserstein_dist:2.9333, vae_loss_seen:369.4791 GZSL: seen=0.3534, unseen=0.4942, h=0.4121 ZSL: unseen accuracy=0.6442
[81/400]  Loss_D: -1.9853 Loss_G: -2.0187, Wasserstein_dist:2.6762, vae_loss_seen:354.6675 GZSL: seen=0.3676, unseen=0.4702, h=0.4126 ZSL: unseen accuracy=0.6529
