HYPER-PARAMETERS
[72/500]  Loss_D: -39.6359 Loss_G: -18.2804, Wasserstein_dist:51.7968, vae_loss_seen:640.1973 GZSL: seen=0.9504, unseen=0.6242, h=0.7535 ZSL: unseen accuracy=0.6689
[73/500]  Loss_D: -40.4183 Loss_G: -17.9666, Wasserstein_dist:51.5374, vae_loss_seen:627.6426 GZSL: seen=0.8994, unseen=0.6479, h=0.7532 ZSL: unseen accuracy=0.6425
[74/500]  Loss_D: -38.6020 Loss_G: -19.2765, Wasserstein_dist:49.0521, vae_loss_seen:602.5730 GZSL: seen=0.9552, unseen=0.6367, h=0.7641 ZSL: unseen accuracy=0.6601
[75/500]  Loss_D: -40.6660 Loss_G: -17.8622, Wasserstein_dist:53.3268, vae_loss_seen:643.4449 GZSL: seen=0.9457, unseen=0.6166, h=0.7465 ZSL: unseen accuracy=0.6716
[76/500]  Loss_D: -36.8679 Loss_G: -19.1974, Wasserstein_dist:49.8779, vae_loss_seen:609.0824 GZSL: seen=0.9080, unseen=0.6300, h=0.7439 ZSL: unseen accuracy=0.6538
[77/500]  Loss_D: -39.4883 Loss_G: -18.7130, Wasserstein_dist:51.6712, vae_loss_seen:628.9920 GZSL: seen=0.9492, unseen=0.6161, h=0.7472 ZSL: unseen accuracy=0.6404
[78/500]  Loss_D: -38.9176 Loss_G: -20.2878, Wasserstein_dist:50.6247, vae_loss_seen:596.9919 GZSL: seen=0.9067, unseen=0.6404, h=0.7506 ZSL: unseen accuracy=0.6612
[79/500]  Loss_D: -29.2046 Loss_G: -20.4934, Wasserstein_dist:41.3120, vae_loss_seen:590.3568 GZSL: seen=0.8993, unseen=0.6237, h=0.7366 ZSL: unseen accuracy=0.6549
[80/500]  Loss_D: -39.2265 Loss_G: -19.1307, Wasserstein_dist:47.9955, vae_loss_seen:592.3194 GZSL: seen=0.9527, unseen=0.6246, h=0.7546 ZSL: unseen accuracy=0.6779
[81/500]  Loss_D: -44.9366 Loss_G: -18.5138, Wasserstein_dist:56.3164, vae_loss_seen:620.2100 GZSL: seen=0.9463, unseen=0.6233, h=0.7516 ZSL: unseen accuracy=0.6553
[82/500]  Loss_D: -34.1817 Loss_G: -20.9085, Wasserstein_dist:50.2628, vae_loss_seen:592.9258 GZSL: seen=0.9414, unseen=0.6380, h=0.7606 ZSL: unseen accuracy=0.6628
[83/500]  Loss_D: -38.4409 Loss_G: -20.7350, Wasserstein_dist:51.4903, vae_loss_seen:600.8187 GZSL: seen=0.9026, unseen=0.6484, h=0.7547 ZSL: unseen accuracy=0.6508
[84/500]  Loss_D: -34.5111 Loss_G: -20.5866, Wasserstein_dist:46.9563, vae_loss_seen:594.5374 GZSL: seen=0.9444, unseen=0.6283, h=0.7546 ZSL: unseen accuracy=0.6583
[85/500]  Loss_D: -41.5312 Loss_G: -20.8037, Wasserstein_dist:52.0043, vae_loss_seen:592.5895 GZSL: seen=0.9630, unseen=0.6300, h=0.7617 ZSL: unseen accuracy=0.6605
[86/500]  Loss_D: -33.7621 Loss_G: -19.9182, Wasserstein_dist:45.1131, vae_loss_seen:591.5323 GZSL: seen=0.9487, unseen=0.6115, h=0.7436 ZSL: unseen accuracy=0.6467
[87/500]  Loss_D: -43.1790 Loss_G: -21.5550, Wasserstein_dist:54.3018, vae_loss_seen:602.0026 GZSL: seen=0.9510, unseen=0.6228, h=0.7527 ZSL: unseen accuracy=0.6602
[88/500]  Loss_D: -30.9017 Loss_G: -20.3120, Wasserstein_dist:41.4169, vae_loss_seen:582.0770 GZSL: seen=0.9448, unseen=0.6375, h=0.7613 ZSL: unseen accuracy=0.6623
[89/500]  Loss_D: -35.5048 Loss_G: -21.6305, Wasserstein_dist:47.1302, vae_loss_seen:575.4711 GZSL: seen=0.9425, unseen=0.6306, h=0.7557 ZSL: unseen accuracy=0.6618
[90/500]  Loss_D: -35.3719 Loss_G: -22.1153, Wasserstein_dist:45.3698, vae_loss_seen:569.3397 GZSL: seen=0.8938, unseen=0.6352, h=0.7426 ZSL: unseen accuracy=0.6634
[91/500]  Loss_D: -32.1280 Loss_G: -20.5056, Wasserstein_dist:42.7660, vae_loss_seen:604.1207 GZSL: seen=0.9428, unseen=0.6192, h=0.7475 ZSL: unseen accuracy=0.6507
[92/500]  Loss_D: -37.5143 Loss_G: -20.1398, Wasserstein_dist:47.7388, vae_loss_seen:600.7380 GZSL: seen=0.9493, unseen=0.6289, h=0.7566 ZSL: unseen accuracy=0.6572
[93/500]  Loss_D: -39.4923 Loss_G: -22.1021, Wasserstein_dist:49.3030, vae_loss_seen:577.0214 GZSL: seen=0.9135, unseen=0.6531, h=0.7617 ZSL: unseen accuracy=0.6612
[94/500]  Loss_D: -33.6218 Loss_G: -21.2401, Wasserstein_dist:45.7200, vae_loss_seen:578.9538 GZSL: seen=0.9451, unseen=0.6315, h=0.7571 ZSL: unseen accuracy=0.6600
[95/500]  Loss_D: -30.4625 Loss_G: -21.8137, Wasserstein_dist:42.8856, vae_loss_seen:585.9752 GZSL: seen=0.9499, unseen=0.6169, h=0.7480 ZSL: unseen accuracy=0.6608
[96/500]  Loss_D: -32.6406 Loss_G: -24.2535, Wasserstein_dist:42.7269, vae_loss_seen:548.7316 GZSL: seen=0.9506, unseen=0.6166, h=0.7480 ZSL: unseen accuracy=0.6471
[97/500]  Loss_D: -31.7232 Loss_G: -22.5578, Wasserstein_dist:40.5435, vae_loss_seen:578.3431 GZSL: seen=0.9507, unseen=0.6144, h=0.7464 ZSL: unseen accuracy=0.6742
[98/500]  Loss_D: -32.4651 Loss_G: -21.6425, Wasserstein_dist:45.0325, vae_loss_seen:598.1339 GZSL: seen=0.9529, unseen=0.6286, h=0.7575 ZSL: unseen accuracy=0.6556
[99/500]  Loss_D: -31.8478 Loss_G: -22.0992, Wasserstein_dist:44.7743, vae_loss_seen:572.1744 GZSL: seen=0.9003, unseen=0.6359, h=0.7454 ZSL: unseen accuracy=0.6463
[100/500]  Loss_D: -29.0465 Loss_G: -22.8882, Wasserstein_dist:41.1425, vae_loss_seen:574.3049 GZSL: seen=0.9454, unseen=0.6238, h=0.7516 ZSL: unseen accuracy=0.6411
[101/500]  Loss_D: -30.6107 Loss_G: -22.2519, Wasserstein_dist:42.3005, vae_loss_seen:580.9859 GZSL: seen=0.9436, unseen=0.6264, h=0.7530 ZSL: unseen accuracy=0.6690
[102/500]  Loss_D: -33.7631 Loss_G: -21.7231, Wasserstein_dist:42.8764, vae_loss_seen:583.5297 GZSL: seen=0.8993, unseen=0.6288, h=0.7401 ZSL: unseen accuracy=0.6519
[103/500]  Loss_D: -32.0351 Loss_G: -22.3856, Wasserstein_dist:40.7779, vae_loss_seen:565.9074 GZSL: seen=0.9035, unseen=0.6302, h=0.7425 ZSL: unseen accuracy=0.6719
[104/500]  Loss_D: -30.8013 Loss_G: -23.3355, Wasserstein_dist:40.9079, vae_loss_seen:548.4741 GZSL: seen=0.9494, unseen=0.6246, h=0.7535 ZSL: unseen accuracy=0.6512
[105/500]  Loss_D: -29.7992 Loss_G: -22.2432, Wasserstein_dist:39.2293, vae_loss_seen:567.3121 GZSL: seen=0.9041, unseen=0.6466, h=0.7540 ZSL: unseen accuracy=0.6653
[106/500]  Loss_D: -32.8536 Loss_G: -24.0441, Wasserstein_dist:42.3438, vae_loss_seen:563.7802 GZSL: seen=0.9499, unseen=0.6270, h=0.7554 ZSL: unseen accuracy=0.6568
[107/500]  Loss_D: -32.0624 Loss_G: -22.4152, Wasserstein_dist:41.7937, vae_loss_seen:566.9571 GZSL: seen=0.9010, unseen=0.6331, h=0.7436 ZSL: unseen accuracy=0.6512
[108/500]  Loss_D: -30.5197 Loss_G: -23.6434, Wasserstein_dist:40.0332, vae_loss_seen:549.1482 GZSL: seen=0.9530, unseen=0.6368, h=0.7634 ZSL: unseen accuracy=0.6566
[109/500]  Loss_D: -27.7447 Loss_G: -23.1341, Wasserstein_dist:39.1291, vae_loss_seen:556.7380 GZSL: seen=0.9513, unseen=0.6290, h=0.7573 ZSL: unseen accuracy=0.6688
[110/500]  Loss_D: -26.8332 Loss_G: -23.4935, Wasserstein_dist:40.3331, vae_loss_seen:551.6561 GZSL: seen=0.9399, unseen=0.6450, h=0.7650 ZSL: unseen accuracy=0.6697
[111/500]  Loss_D: -30.1284 Loss_G: -23.4755, Wasserstein_dist:38.8451, vae_loss_seen:546.1500 GZSL: seen=0.9130, unseen=0.6452, h=0.7561 ZSL: unseen accuracy=0.6551
[112/500]  Loss_D: -27.4719 Loss_G: -23.7605, Wasserstein_dist:39.2439, vae_loss_seen:567.1544 GZSL: seen=0.9043, unseen=0.6727, h=0.7715 ZSL: unseen accuracy=0.6661
[113/500]  Loss_D: -30.5618 Loss_G: -22.0692, Wasserstein_dist:40.3686, vae_loss_seen:574.8812 GZSL: seen=0.8999, unseen=0.6533, h=0.7570 ZSL: unseen accuracy=0.6470
[114/500]  Loss_D: -30.6586 Loss_G: -23.3217, Wasserstein_dist:39.2259, vae_loss_seen:560.8069 GZSL: seen=0.9484, unseen=0.6396, h=0.7640 ZSL: unseen accuracy=0.6471
[115/500]  Loss_D: -28.2005 Loss_G: -22.7495, Wasserstein_dist:37.2069, vae_loss_seen:569.5301 GZSL: seen=0.9131, unseen=0.6521, h=0.7609 ZSL: unseen accuracy=0.6256
[116/500]  Loss_D: -28.0655 Loss_G: -23.8604, Wasserstein_dist:36.6204, vae_loss_seen:553.6701 GZSL: seen=0.9051, unseen=0.6432, h=0.7520 ZSL: unseen accuracy=0.6476
[117/500]  Loss_D: -29.4271 Loss_G: -23.7560, Wasserstein_dist:41.8942, vae_loss_seen:562.7632 GZSL: seen=0.9040, unseen=0.6159, h=0.7326 ZSL: unseen accuracy=0.6550
[118/500]  Loss_D: -32.5853 Loss_G: -22.8236, Wasserstein_dist:41.8076, vae_loss_seen:565.8768 GZSL: seen=0.9105, unseen=0.6389, h=0.7509 ZSL: unseen accuracy=0.6469
[119/500]  Loss_D: -27.3010 Loss_G: -23.8165, Wasserstein_dist:37.5881, vae_loss_seen:550.4900 GZSL: seen=0.8935, unseen=0.6187, h=0.7311 ZSL: unseen accuracy=0.6332
[120/500]  Loss_D: -31.3029 Loss_G: -23.2914, Wasserstein_dist:39.7105, vae_loss_seen:564.0848 GZSL: seen=0.9535, unseen=0.6234, h=0.7539 ZSL: unseen accuracy=0.6530
[121/500]  Loss_D: -25.1017 Loss_G: -25.3535, Wasserstein_dist:37.4483, vae_loss_seen:539.4817 GZSL: seen=0.9507, unseen=0.6094, h=0.7427 ZSL: unseen accuracy=0.6368
