HYPER-PARAMETERS
[115/500]  Loss_D: -17.4056 Loss_G: -2.9116, Wasserstein_dist:23.1033, vae_loss_seen:367.1768 GZSL: seen=0.8333, unseen=0.5405, h=0.6557 ZSL: unseen accuracy=0.5777
[116/500]  Loss_D: -17.1517 Loss_G: -2.6793, Wasserstein_dist:23.8249, vae_loss_seen:361.7663 GZSL: seen=0.8340, unseen=0.5338, h=0.6510 ZSL: unseen accuracy=0.5834
[117/500]  Loss_D: -16.1538 Loss_G: -2.8009, Wasserstein_dist:22.3978, vae_loss_seen:375.3253 GZSL: seen=0.8262, unseen=0.5349, h=0.6494 ZSL: unseen accuracy=0.5801
[118/500]  Loss_D: -17.8511 Loss_G: -2.9793, Wasserstein_dist:24.5224, vae_loss_seen:386.3960 GZSL: seen=0.8279, unseen=0.5454, h=0.6576 ZSL: unseen accuracy=0.5794
[119/500]  Loss_D: -15.5138 Loss_G: -2.8447, Wasserstein_dist:20.5822, vae_loss_seen:365.8817 GZSL: seen=0.8572, unseen=0.5458, h=0.6669 ZSL: unseen accuracy=0.5840
[120/500]  Loss_D: -16.2969 Loss_G: -2.7150, Wasserstein_dist:22.6154, vae_loss_seen:400.5082 GZSL: seen=0.8289, unseen=0.5446, h=0.6573 ZSL: unseen accuracy=0.5759
[121/500]  Loss_D: -15.3072 Loss_G: -3.0952, Wasserstein_dist:21.3740, vae_loss_seen:375.9524 GZSL: seen=0.8533, unseen=0.5257, h=0.6506 ZSL: unseen accuracy=0.5762
[122/500]  Loss_D: -14.0284 Loss_G: -3.0126, Wasserstein_dist:18.6654, vae_loss_seen:362.8018 GZSL: seen=0.8325, unseen=0.5447, h=0.6585 ZSL: unseen accuracy=0.5852
[123/500]  Loss_D: -16.8918 Loss_G: -2.8239, Wasserstein_dist:22.1064, vae_loss_seen:393.2629 GZSL: seen=0.8336, unseen=0.5364, h=0.6527 ZSL: unseen accuracy=0.5814
[124/500]  Loss_D: -16.1998 Loss_G: -2.7461, Wasserstein_dist:21.7344, vae_loss_seen:395.4694 GZSL: seen=0.8247, unseen=0.5421, h=0.6542 ZSL: unseen accuracy=0.5749
[125/500]  Loss_D: -13.0889 Loss_G: -2.8872, Wasserstein_dist:18.3506, vae_loss_seen:382.9724 GZSL: seen=0.8089, unseen=0.5475, h=0.6530 ZSL: unseen accuracy=0.5769
[126/500]  Loss_D: -15.8843 Loss_G: -3.0337, Wasserstein_dist:20.8576, vae_loss_seen:385.4589 GZSL: seen=0.8468, unseen=0.5328, h=0.6541 ZSL: unseen accuracy=0.5771
