HYPER-PARAMETERS
[47/500]  Loss_D: -51.1279 Loss_G: -14.5219, Wasserstein_dist:64.3424, vae_loss_seen:657.5349 GZSL: seen=0.9480, unseen=0.6280, h=0.7555 ZSL: unseen accuracy=0.6404
[48/500]  Loss_D: -37.6725 Loss_G: -14.5893, Wasserstein_dist:55.2859, vae_loss_seen:658.1593 GZSL: seen=0.9671, unseen=0.6198, h=0.7555 ZSL: unseen accuracy=0.6566
[49/500]  Loss_D: -47.4340 Loss_G: -14.0571, Wasserstein_dist:62.4806, vae_loss_seen:655.3471 GZSL: seen=0.9567, unseen=0.6205, h=0.7528 ZSL: unseen accuracy=0.6354
[50/500]  Loss_D: -45.3473 Loss_G: -14.4136, Wasserstein_dist:61.6201, vae_loss_seen:678.1802 GZSL: seen=0.9473, unseen=0.6295, h=0.7564 ZSL: unseen accuracy=0.6587
[51/500]  Loss_D: -40.5028 Loss_G: -15.2702, Wasserstein_dist:52.8934, vae_loss_seen:643.2725 GZSL: seen=0.9535, unseen=0.6355, h=0.7627 ZSL: unseen accuracy=0.6537
[52/500]  Loss_D: -48.2951 Loss_G: -14.8795, Wasserstein_dist:63.3975, vae_loss_seen:654.7759 GZSL: seen=0.9501, unseen=0.6294, h=0.7572 ZSL: unseen accuracy=0.6572
[53/500]  Loss_D: -43.6599 Loss_G: -14.3439, Wasserstein_dist:55.4167, vae_loss_seen:668.0024 GZSL: seen=0.9556, unseen=0.6104, h=0.7450 ZSL: unseen accuracy=0.6667
[54/500]  Loss_D: -40.8967 Loss_G: -14.7830, Wasserstein_dist:56.2589, vae_loss_seen:667.1966 GZSL: seen=0.8876, unseen=0.6402, h=0.7439 ZSL: unseen accuracy=0.6461
[55/500]  Loss_D: -51.6656 Loss_G: -15.1214, Wasserstein_dist:62.6211, vae_loss_seen:677.8676 GZSL: seen=0.8960, unseen=0.6356, h=0.7437 ZSL: unseen accuracy=0.6500
[56/500]  Loss_D: -44.5954 Loss_G: -15.0944, Wasserstein_dist:56.8609, vae_loss_seen:653.1050 GZSL: seen=0.9542, unseen=0.6251, h=0.7553 ZSL: unseen accuracy=0.6429
[57/500]  Loss_D: -42.7600 Loss_G: -15.9676, Wasserstein_dist:57.5024, vae_loss_seen:647.3920 GZSL: seen=0.9563, unseen=0.6295, h=0.7592 ZSL: unseen accuracy=0.6631
