HYPER-PARAMETERS
[62/500]  Loss_D: -22.5379 Loss_G: -4.3866, Wasserstein_dist:31.5561, vae_loss_seen:365.4035 GZSL: seen=0.8580, unseen=0.5279, h=0.6536 ZSL: unseen accuracy=0.5809
[63/500]  Loss_D: -23.8904 Loss_G: -4.4978, Wasserstein_dist:32.5807, vae_loss_seen:369.2558 GZSL: seen=0.8091, unseen=0.5504, h=0.6552 ZSL: unseen accuracy=0.5901
[64/500]  Loss_D: -23.9705 Loss_G: -4.4430, Wasserstein_dist:30.9738, vae_loss_seen:359.4839 GZSL: seen=0.8279, unseen=0.5265, h=0.6437 ZSL: unseen accuracy=0.5658
[65/500]  Loss_D: -26.4576 Loss_G: -4.3818, Wasserstein_dist:33.9827, vae_loss_seen:358.9258 GZSL: seen=0.8268, unseen=0.5352, h=0.6498 ZSL: unseen accuracy=0.5823
[66/500]  Loss_D: -23.3883 Loss_G: -4.4404, Wasserstein_dist:31.7686, vae_loss_seen:375.9591 GZSL: seen=0.8634, unseen=0.5316, h=0.6581 ZSL: unseen accuracy=0.5895
[67/500]  Loss_D: -25.1927 Loss_G: -4.3075, Wasserstein_dist:32.3079, vae_loss_seen:369.4425 GZSL: seen=0.8575, unseen=0.5266, h=0.6525 ZSL: unseen accuracy=0.5916
[68/500]  Loss_D: -22.5974 Loss_G: -4.2328, Wasserstein_dist:30.6642, vae_loss_seen:346.5883 GZSL: seen=0.8573, unseen=0.5278, h=0.6533 ZSL: unseen accuracy=0.5860
[69/500]  Loss_D: -27.7067 Loss_G: -4.6838, Wasserstein_dist:34.8274, vae_loss_seen:363.4881 GZSL: seen=0.8153, unseen=0.5355, h=0.6464 ZSL: unseen accuracy=0.5713
[70/500]  Loss_D: -21.4697 Loss_G: -4.4339, Wasserstein_dist:28.8539, vae_loss_seen:351.8095 GZSL: seen=0.8328, unseen=0.5405, h=0.6555 ZSL: unseen accuracy=0.5798
[71/500]  Loss_D: -24.3426 Loss_G: -4.7712, Wasserstein_dist:32.9068, vae_loss_seen:368.4568 GZSL: seen=0.8528, unseen=0.5227, h=0.6481 ZSL: unseen accuracy=0.5737
[72/500]  Loss_D: -22.4860 Loss_G: -4.5439, Wasserstein_dist:30.1026, vae_loss_seen:354.2580 GZSL: seen=0.8532, unseen=0.5270, h=0.6516 ZSL: unseen accuracy=0.5745
