HYPER-PARAMETERS
[89/500]  Loss_D: -23.6411 Loss_G: -4.9630, Wasserstein_dist:31.8509, vae_loss_seen:359.1327 GZSL: seen=0.8463, unseen=0.5329, h=0.6540 ZSL: unseen accuracy=0.5891
[90/500]  Loss_D: -21.0009 Loss_G: -4.7304, Wasserstein_dist:28.2378, vae_loss_seen:342.3514 GZSL: seen=0.8112, unseen=0.5460, h=0.6527 ZSL: unseen accuracy=0.5804
[91/500]  Loss_D: -19.1735 Loss_G: -4.9270, Wasserstein_dist:26.7032, vae_loss_seen:338.2327 GZSL: seen=0.8611, unseen=0.5233, h=0.6510 ZSL: unseen accuracy=0.5769
[92/500]  Loss_D: -20.0154 Loss_G: -5.1847, Wasserstein_dist:27.5723, vae_loss_seen:344.8071 GZSL: seen=0.8670, unseen=0.5308, h=0.6585 ZSL: unseen accuracy=0.5800
[93/500]  Loss_D: -22.5418 Loss_G: -5.0649, Wasserstein_dist:30.0838, vae_loss_seen:359.4026 GZSL: seen=0.8642, unseen=0.5296, h=0.6567 ZSL: unseen accuracy=0.5920
[94/500]  Loss_D: -23.8511 Loss_G: -5.0848, Wasserstein_dist:31.4332, vae_loss_seen:363.9270 GZSL: seen=0.8345, unseen=0.5467, h=0.6606 ZSL: unseen accuracy=0.5757
[95/500]  Loss_D: -19.4594 Loss_G: -5.0146, Wasserstein_dist:27.5994, vae_loss_seen:347.5222 GZSL: seen=0.8609, unseen=0.5272, h=0.6539 ZSL: unseen accuracy=0.5692
[96/500]  Loss_D: -23.2137 Loss_G: -4.9947, Wasserstein_dist:30.8204, vae_loss_seen:370.9149 GZSL: seen=0.8497, unseen=0.5334, h=0.6554 ZSL: unseen accuracy=0.5707
[97/500]  Loss_D: -22.9987 Loss_G: -5.2472, Wasserstein_dist:31.0713, vae_loss_seen:348.1191 GZSL: seen=0.8268, unseen=0.5466, h=0.6581 ZSL: unseen accuracy=0.5843
[98/500]  Loss_D: -22.2388 Loss_G: -5.1216, Wasserstein_dist:30.3536, vae_loss_seen:357.9454 GZSL: seen=0.8378, unseen=0.5389, h=0.6559 ZSL: unseen accuracy=0.5828
[99/500]  Loss_D: -19.4987 Loss_G: -4.8206, Wasserstein_dist:26.0827, vae_loss_seen:346.1367 GZSL: seen=0.8228, unseen=0.5479, h=0.6578 ZSL: unseen accuracy=0.5770
[100/500]  Loss_D: -21.9400 Loss_G: -4.9755, Wasserstein_dist:29.4926, vae_loss_seen:344.9082 GZSL: seen=0.8497, unseen=0.5374, h=0.6584 ZSL: unseen accuracy=0.5753
[101/500]  Loss_D: -22.9134 Loss_G: -5.1846, Wasserstein_dist:30.8925, vae_loss_seen:375.2299 GZSL: seen=0.8333, unseen=0.5382, h=0.6540 ZSL: unseen accuracy=0.5801
[102/500]  Loss_D: -20.9634 Loss_G: -5.1599, Wasserstein_dist:29.2267, vae_loss_seen:361.1945 GZSL: seen=0.8334, unseen=0.5333, h=0.6504 ZSL: unseen accuracy=0.5839
[103/500]  Loss_D: -20.7251 Loss_G: -5.4494, Wasserstein_dist:27.5629, vae_loss_seen:343.0962 GZSL: seen=0.8215, unseen=0.5489, h=0.6581 ZSL: unseen accuracy=0.5694
[104/500]  Loss_D: -22.1406 Loss_G: -4.8737, Wasserstein_dist:28.8901, vae_loss_seen:355.3630 GZSL: seen=0.8152, unseen=0.5460, h=0.6540 ZSL: unseen accuracy=0.5793
[105/500]  Loss_D: -21.3954 Loss_G: -5.2096, Wasserstein_dist:27.8143, vae_loss_seen:362.4434 GZSL: seen=0.8163, unseen=0.5466, h=0.6548 ZSL: unseen accuracy=0.5791
[106/500]  Loss_D: -18.6397 Loss_G: -5.0712, Wasserstein_dist:24.4294, vae_loss_seen:342.9081 GZSL: seen=0.8325, unseen=0.5334, h=0.6502 ZSL: unseen accuracy=0.5698
[107/500]  Loss_D: -20.5724 Loss_G: -4.5894, Wasserstein_dist:27.9406, vae_loss_seen:369.4953 GZSL: seen=0.8530, unseen=0.5293, h=0.6533 ZSL: unseen accuracy=0.5744
