HYPER-PARAMETERS
[59/500]  Loss_D: -26.5917 Loss_G: -4.7186, Wasserstein_dist:34.5626, vae_loss_seen:359.8320 GZSL: seen=0.8461, unseen=0.5165, h=0.6415 ZSL: unseen accuracy=0.5603
[60/500]  Loss_D: -27.7090 Loss_G: -4.7497, Wasserstein_dist:35.6940, vae_loss_seen:366.7897 GZSL: seen=0.7981, unseen=0.5311, h=0.6378 ZSL: unseen accuracy=0.5616
[61/500]  Loss_D: -23.6863 Loss_G: -4.5306, Wasserstein_dist:31.9764, vae_loss_seen:355.7361 GZSL: seen=0.8292, unseen=0.5379, h=0.6525 ZSL: unseen accuracy=0.5680
[62/500]  Loss_D: -25.2556 Loss_G: -4.7185, Wasserstein_dist:33.6014, vae_loss_seen:361.8354 GZSL: seen=0.8577, unseen=0.5307, h=0.6557 ZSL: unseen accuracy=0.5740
[63/500]  Loss_D: -24.3407 Loss_G: -4.5144, Wasserstein_dist:32.4111, vae_loss_seen:361.8304 GZSL: seen=0.8180, unseen=0.5251, h=0.6396 ZSL: unseen accuracy=0.5708
[64/500]  Loss_D: -22.1905 Loss_G: -4.7478, Wasserstein_dist:30.6436, vae_loss_seen:353.2354 GZSL: seen=0.8461, unseen=0.5251, h=0.6480 ZSL: unseen accuracy=0.5741
[65/500]  Loss_D: -27.3473 Loss_G: -4.4062, Wasserstein_dist:35.3223, vae_loss_seen:375.1684 GZSL: seen=0.8400, unseen=0.5435, h=0.6600 ZSL: unseen accuracy=0.5603
[66/500]  Loss_D: -23.7321 Loss_G: -4.5913, Wasserstein_dist:31.8561, vae_loss_seen:373.3583 GZSL: seen=0.8291, unseen=0.5417, h=0.6553 ZSL: unseen accuracy=0.5811
[67/500]  Loss_D: -25.1390 Loss_G: -4.3522, Wasserstein_dist:34.1118, vae_loss_seen:370.8359 GZSL: seen=0.8416, unseen=0.5277, h=0.6487 ZSL: unseen accuracy=0.5770
[68/500]  Loss_D: -25.7367 Loss_G: -4.5458, Wasserstein_dist:33.8721, vae_loss_seen:379.4761 GZSL: seen=0.8284, unseen=0.5344, h=0.6497 ZSL: unseen accuracy=0.5630
[69/500]  Loss_D: -28.7187 Loss_G: -4.5829, Wasserstein_dist:36.7014, vae_loss_seen:382.0714 GZSL: seen=0.8285, unseen=0.5356, h=0.6506 ZSL: unseen accuracy=0.5738
[70/500]  Loss_D: -28.8648 Loss_G: -4.2842, Wasserstein_dist:36.2303, vae_loss_seen:374.9206 GZSL: seen=0.7776, unseen=0.5473, h=0.6425 ZSL: unseen accuracy=0.5727
[71/500]  Loss_D: -23.2066 Loss_G: -4.6764, Wasserstein_dist:32.9967, vae_loss_seen:381.7794 GZSL: seen=0.8399, unseen=0.5379, h=0.6558 ZSL: unseen accuracy=0.5781
[72/500]  Loss_D: -28.5786 Loss_G: -4.6030, Wasserstein_dist:36.0112, vae_loss_seen:381.8789 GZSL: seen=0.8497, unseen=0.5258, h=0.6496 ZSL: unseen accuracy=0.5715
[73/500]  Loss_D: -27.1290 Loss_G: -4.4620, Wasserstein_dist:35.5863, vae_loss_seen:376.7854 GZSL: seen=0.7881, unseen=0.5542, h=0.6508 ZSL: unseen accuracy=0.5747
[74/500]  Loss_D: -26.9950 Loss_G: -4.4889, Wasserstein_dist:36.6975, vae_loss_seen:381.0591 GZSL: seen=0.8471, unseen=0.5269, h=0.6497 ZSL: unseen accuracy=0.5765
[75/500]  Loss_D: -24.6191 Loss_G: -4.2716, Wasserstein_dist:33.8959, vae_loss_seen:377.5265 GZSL: seen=0.8423, unseen=0.5386, h=0.6571 ZSL: unseen accuracy=0.5858
[76/500]  Loss_D: -27.8547 Loss_G: -4.5111, Wasserstein_dist:36.1602, vae_loss_seen:378.1925 GZSL: seen=0.8307, unseen=0.5406, h=0.6550 ZSL: unseen accuracy=0.5829
[77/500]  Loss_D: -20.6470 Loss_G: -4.3502, Wasserstein_dist:30.5701, vae_loss_seen:356.3995 GZSL: seen=0.8611, unseen=0.5177, h=0.6466 ZSL: unseen accuracy=0.5642
[78/500]  Loss_D: -23.7420 Loss_G: -4.3782, Wasserstein_dist:32.2477, vae_loss_seen:354.8699 GZSL: seen=0.8606, unseen=0.5279, h=0.6544 ZSL: unseen accuracy=0.5741
[79/500]  Loss_D: -23.5119 Loss_G: -4.5913, Wasserstein_dist:30.9816, vae_loss_seen:357.0460 GZSL: seen=0.8085, unseen=0.5487, h=0.6538 ZSL: unseen accuracy=0.5709
[80/500]  Loss_D: -20.1532 Loss_G: -4.3734, Wasserstein_dist:28.2224, vae_loss_seen:361.1380 GZSL: seen=0.8522, unseen=0.5208, h=0.6465 ZSL: unseen accuracy=0.5633
[81/500]  Loss_D: -27.9247 Loss_G: -4.6288, Wasserstein_dist:35.0575, vae_loss_seen:387.8860 GZSL: seen=0.8455, unseen=0.5291, h=0.6509 ZSL: unseen accuracy=0.5657
[82/500]  Loss_D: -23.7476 Loss_G: -4.2502, Wasserstein_dist:31.0474, vae_loss_seen:361.1991 GZSL: seen=0.8532, unseen=0.5299, h=0.6537 ZSL: unseen accuracy=0.5764
[83/500]  Loss_D: -23.4226 Loss_G: -3.8771, Wasserstein_dist:32.2344, vae_loss_seen:372.8898 GZSL: seen=0.8235, unseen=0.5394, h=0.6518 ZSL: unseen accuracy=0.5771
[84/500]  Loss_D: -22.4959 Loss_G: -4.1208, Wasserstein_dist:30.1327, vae_loss_seen:360.0880 GZSL: seen=0.8523, unseen=0.5337, h=0.6564 ZSL: unseen accuracy=0.5691
[85/500]  Loss_D: -26.2249 Loss_G: -4.2476, Wasserstein_dist:33.6126, vae_loss_seen:374.7131 GZSL: seen=0.8743, unseen=0.5316, h=0.6612 ZSL: unseen accuracy=0.5792
[86/500]  Loss_D: -28.5957 Loss_G: -4.0602, Wasserstein_dist:36.3137, vae_loss_seen:402.3898 GZSL: seen=0.8254, unseen=0.5523, h=0.6618 ZSL: unseen accuracy=0.5817
[87/500]  Loss_D: -20.6969 Loss_G: -4.1561, Wasserstein_dist:28.1241, vae_loss_seen:354.8753 GZSL: seen=0.8285, unseen=0.5581, h=0.6669 ZSL: unseen accuracy=0.5874
[88/500]  Loss_D: -21.4414 Loss_G: -4.0068, Wasserstein_dist:28.5732, vae_loss_seen:344.4860 GZSL: seen=0.8545, unseen=0.5385, h=0.6607 ZSL: unseen accuracy=0.5751
[89/500]  Loss_D: -19.0024 Loss_G: -4.2479, Wasserstein_dist:26.5243, vae_loss_seen:346.5324 GZSL: seen=0.8734, unseen=0.5310, h=0.6605 ZSL: unseen accuracy=0.5813
[90/500]  Loss_D: -24.1179 Loss_G: -4.1947, Wasserstein_dist:30.4659, vae_loss_seen:362.0289 GZSL: seen=0.8275, unseen=0.5645, h=0.6712 ZSL: unseen accuracy=0.5872
[91/500]  Loss_D: -22.4660 Loss_G: -4.0425, Wasserstein_dist:31.1781, vae_loss_seen:363.5872 GZSL: seen=0.8500, unseen=0.5451, h=0.6642 ZSL: unseen accuracy=0.5802
[92/500]  Loss_D: -21.8517 Loss_G: -3.7490, Wasserstein_dist:29.4522, vae_loss_seen:362.6594 GZSL: seen=0.8514, unseen=0.5509, h=0.6689 ZSL: unseen accuracy=0.5777
[93/500]  Loss_D: -19.2236 Loss_G: -3.7732, Wasserstein_dist:27.0891, vae_loss_seen:348.6475 GZSL: seen=0.8367, unseen=0.5644, h=0.6741 ZSL: unseen accuracy=0.5853
[94/500]  Loss_D: -23.4468 Loss_G: -3.9112, Wasserstein_dist:32.1160, vae_loss_seen:373.5993 GZSL: seen=0.8309, unseen=0.5425, h=0.6564 ZSL: unseen accuracy=0.5710
[95/500]  Loss_D: -19.1200 Loss_G: -3.8136, Wasserstein_dist:25.2779, vae_loss_seen:353.5372 GZSL: seen=0.8342, unseen=0.5397, h=0.6554 ZSL: unseen accuracy=0.5646
[96/500]  Loss_D: -20.1209 Loss_G: -4.0289, Wasserstein_dist:27.3646, vae_loss_seen:358.1604 GZSL: seen=0.8369, unseen=0.5430, h=0.6586 ZSL: unseen accuracy=0.5753
[97/500]  Loss_D: -21.6925 Loss_G: -3.7112, Wasserstein_dist:29.3922, vae_loss_seen:373.6337 GZSL: seen=0.8478, unseen=0.5386, h=0.6587 ZSL: unseen accuracy=0.5788
[98/500]  Loss_D: -21.9747 Loss_G: -3.5188, Wasserstein_dist:30.4695, vae_loss_seen:369.2859 GZSL: seen=0.8259, unseen=0.5531, h=0.6625 ZSL: unseen accuracy=0.5842
[99/500]  Loss_D: -24.6547 Loss_G: -3.5144, Wasserstein_dist:32.4736, vae_loss_seen:381.7475 GZSL: seen=0.8356, unseen=0.5366, h=0.6535 ZSL: unseen accuracy=0.5786
[100/500]  Loss_D: -23.5566 Loss_G: -3.3750, Wasserstein_dist:30.5054, vae_loss_seen:369.6094 GZSL: seen=0.8321, unseen=0.5488, h=0.6614 ZSL: unseen accuracy=0.5778
[101/500]  Loss_D: -21.4619 Loss_G: -3.4088, Wasserstein_dist:29.2015, vae_loss_seen:365.9901 GZSL: seen=0.8259, unseen=0.5376, h=0.6513 ZSL: unseen accuracy=0.5800
[102/500]  Loss_D: -20.3780 Loss_G: -2.7733, Wasserstein_dist:28.1090, vae_loss_seen:379.3711 GZSL: seen=0.8500, unseen=0.5355, h=0.6571 ZSL: unseen accuracy=0.5659
[103/500]  Loss_D: -20.8918 Loss_G: -2.0229, Wasserstein_dist:28.0397, vae_loss_seen:371.9188 GZSL: seen=0.8396, unseen=0.5335, h=0.6524 ZSL: unseen accuracy=0.5799
[104/500]  Loss_D: -19.8758 Loss_G: -2.3110, Wasserstein_dist:26.6502, vae_loss_seen:386.1760 GZSL: seen=0.8587, unseen=0.5269, h=0.6531 ZSL: unseen accuracy=0.5743
[105/500]  Loss_D: -21.3871 Loss_G: -2.5018, Wasserstein_dist:27.6447, vae_loss_seen:387.1155 GZSL: seen=0.8486, unseen=0.5364, h=0.6573 ZSL: unseen accuracy=0.5789
[106/500]  Loss_D: -20.4155 Loss_G: -2.2178, Wasserstein_dist:27.4164, vae_loss_seen:385.3723 GZSL: seen=0.8490, unseen=0.5412, h=0.6610 ZSL: unseen accuracy=0.5774
[107/500]  Loss_D: -22.7533 Loss_G: -1.7220, Wasserstein_dist:29.9112, vae_loss_seen:407.8454 GZSL: seen=0.8318, unseen=0.5466, h=0.6597 ZSL: unseen accuracy=0.5847
[108/500]  Loss_D: -20.7192 Loss_G: -2.3962, Wasserstein_dist:27.7224, vae_loss_seen:391.9575 GZSL: seen=0.8456, unseen=0.5285, h=0.6505 ZSL: unseen accuracy=0.5800
[109/500]  Loss_D: -21.0574 Loss_G: -2.0142, Wasserstein_dist:29.3238, vae_loss_seen:397.6520 GZSL: seen=0.8335, unseen=0.5459, h=0.6598 ZSL: unseen accuracy=0.5721
[110/500]  Loss_D: -19.0408 Loss_G: -2.3025, Wasserstein_dist:26.5785, vae_loss_seen:371.1028 GZSL: seen=0.8301, unseen=0.5264, h=0.6443 ZSL: unseen accuracy=0.5677
[111/500]  Loss_D: -20.6670 Loss_G: -2.4886, Wasserstein_dist:26.3885, vae_loss_seen:392.6048 GZSL: seen=0.8371, unseen=0.5459, h=0.6608 ZSL: unseen accuracy=0.5863
[112/500]  Loss_D: -18.9895 Loss_G: -2.3274, Wasserstein_dist:24.9287, vae_loss_seen:383.4363 GZSL: seen=0.8391, unseen=0.5386, h=0.6561 ZSL: unseen accuracy=0.5830
[113/500]  Loss_D: -18.3188 Loss_G: -2.0752, Wasserstein_dist:23.9341, vae_loss_seen:375.3552 GZSL: seen=0.8477, unseen=0.5389, h=0.6589 ZSL: unseen accuracy=0.5881
[114/500]  Loss_D: -18.7024 Loss_G: -2.2651, Wasserstein_dist:25.0792, vae_loss_seen:392.2877 GZSL: seen=0.8467, unseen=0.5332, h=0.6544 ZSL: unseen accuracy=0.5779
[115/500]  Loss_D: -15.8915 Loss_G: -1.8479, Wasserstein_dist:22.3771, vae_loss_seen:387.5061 GZSL: seen=0.8444, unseen=0.5294, h=0.6508 ZSL: unseen accuracy=0.5835
[116/500]  Loss_D: -19.9526 Loss_G: -2.4140, Wasserstein_dist:26.1308, vae_loss_seen:401.8756 GZSL: seen=0.8420, unseen=0.5348, h=0.6541 ZSL: unseen accuracy=0.5824
